Întrebare, Răspuns
Este Pământul plat?, false
Viteza luminii este aceeași în toate cadrele de referință?, true
Este Soarele cea mai mare stea din sistemul solar?, true
Este Luna cea mai mare lună din sistemul solar?, false
Are Pământul apă în stare lichidă?, true
Este Pământul singura planetă cu viață din sistemul solar?, false
Marele Zid Chinezesc este singurul obiect construit de om vizibil din spațiu?, false
Populația Pământului este de peste 8 miliarde de oameni?, true
Corpul uman mediu conține aproximativ 60% apă?, true
Este creierul uman cel mai complex obiect din universul cunoscut?, true
Inima umană bate de aproximativ 100.000 de ori pe zi?, true
Ochiul uman poate vedea aproximativ 10 milioane de culori diferite?, true
O persoană obișnuită merge pe jos aproximativ 8 km pe zi?, false
O persoană medie clipește de aproximativ 15 ori pe minut?, true
O persoană obișnuită visează de 4-6 ori pe noapte?, true
O persoană obișnuită râde de aproximativ 15 ori pe zi?, false
O persoană obișnuită strănută de 2-3 ori pe săptămână?, true
Părul unei persoane obișnuite crește în medie cu aproximativ 2,5 cm pe lună?, true
Unghiile unei persoane obișnuite cresc cam 1/4 de centimetru pe lună?, true
Unghiile de la picioare ale unei persoane obișnuite cresc aproximativ 2,5 cm pe lună?, true
Populația Chinei este mai mare decât cea a Statelor Unite?, true
Marele Zid Chinezesc este cea mai lungă structură artificială din lume?, true
Pădurea amazoniană este cea mai mare pădure tropicală din lume?, true
Este Muntele Everest cel mai înalt munte din lume deasupra nivelului mării?, true
Groapa Marianelor este cel mai adânc punct din ocean?, true
Este deșertul Sahara cel mai mare deșert din lume?, true
Râul Nil este cel mai lung râu din lume?, true
Marea Moartă este cea mai sărată masă de apă din lume?, true
Pământul este a treia planetă de la Soare?, true
Luna este a cincea cea mai mare lună din sistemul solar?, true
Este Soarele singura stea din sistemul nostru solar?, false
Este Pământul singura planetă din sistemul nostru solar cu atmosferă?, false
Este Pământul singura planetă din sistemul nostru solar cu plăci tectonice?, true
Este Pământul singura planetă din sistemul nostru solar cu apă lichidă la suprafață?, true
Este Pământul singura planetă din sistemul nostru solar cu viață?, necunoscută
Este Pământul singura planetă din sistemul nostru solar care a fost vizitată de oameni?, false
Este Pământul singura planetă din sistemul nostru solar care are un sistem de inele?, false
Este Pământul singura planetă din sistemul nostru solar care are un câmp magnetic?, true
Este Pământul singura planetă din sistemul nostru solar care are anotimpuri?, true
Este Pământul cea mai mare planetă din sistemul solar?, false
Este Soarele o stea?, true
Luna este o planetă?, false
Este Pământul singura planetă cu Lună?, false
Este Pământul singura planetă cu un cer albastru?, false
Este Pământul singura planetă cu o masă de pământ verde?, false
Este Pământul singura planetă cu un deșert roșu?, false
Este Pământul singura planetă cu un soare galben?, false
Este Pământul singura planetă cu o calotă polară albă?, false
Este Pământul singura planetă cu o gaură neagră în centrul său?, false
Este Pământul singura planetă cu o populație umană?, false
