Question, Answer
Did Jesse Owens win four gold medals at the 1936 Berlin Olympics?, true
Did Usain Bolt break the world record for the 100m dash at the 2008 Beijing Olympics?, true
Did Michael Jordan score 81 points in a single NBA game?, false
Did Muhammad Ali win an Olympic gold medal in boxing?, true
Did the Miracle on Ice occur during the 1980 Winter Olympics?, true
Did Roger Bannister run the first sub-4-minute mile in 1954?, true
Was the 1966 FIFA World Cup held in Brazil?, false
Did Babe Ruth hit 714 home runs in his MLB career?, true
Did Nadia Comaneci score a perfect 10 in gymnastics at the 1976 Montreal Olympics?, true
Did Lionel Messi score a hat-trick in the 2014 FIFA World Cup final?, false
Did Serena Williams win the Calendar Grand Slam in 2015?, false
Did Michael Phelps win eight gold medals at the 2008 Beijing Olympics?, true
Did the "Hand of God" incident involve Diego Maradona during the 1986 FIFA World Cup?, true
Did the "Thrilla in Manila" refer to a boxing match between Muhammad Ali and Joe Frazier?, true
Was the "Immaculate Reception" a memorable play in American football?, true
Did the "Shot Heard 'Round the World" involve baseball player Babe Ruth?, false
Did the 2014 FIFA World Cup take place in Germany?, false
Did Nadia Comaneci win five gold medals in gymnastics at the 1976 Montreal Olympics?, false
Did the 2016 Rio Olympics feature golf as one of the sports?, true
Did Ronda Rousey retire undefeated in UFC?, false
Did Diego Maradona score two goals against England in the 1986 FIFA World Cup?, true
Did the "Fumble" incident occur in a Super Bowl game?, false
Did Tommie Smith and John Carlos give the Black Power salute at the 1968 Olympics?, true
Did Wayne Gretzky hold the NHL record for most goals in a season?, false
Was the 1950 FIFA World Cup hosted by Argentina?, false
Did Roger Federer win 20 Grand Slam singles titles in tennis?, true
Did Michael Jordan win a gold medal in basketball at the 1992 Barcelona Olympics?, true
Did the "Hand of God" incident involve Pele during the 1970 FIFA World Cup?, false
Did Usain Bolt compete in the decathlon at the 2008 Beijing Olympics?, false
Did the "Shot Heard 'Round the World" involve Bobby Thomson in baseball?, true
Did Brandi Chastain score the winning penalty kick in the 1999 FIFA Women's World Cup final?, true
Did the "Rumble in the Jungle" involve Muhammad Ali and Joe Frazier?, false
Did Michael Phelps win 23 Olympic gold medals in swimming?, false
Did the "Battle of the Sexes" tennis match involve Serena Williams?, false
Did Tiger Woods win his first major golf tournament at the Masters in 1997?, true
Did the 2012 London Olympics feature rugby as one of the sports?, false
Did Bobby Jones win all four major golf tournaments in a single year?, false
Did the "Thrilla in Manila" refer to a boxing match between Muhammad Ali and George Foreman?, false
Did the "Hand of God" incident involve Lionel Messi during the 2014 FIFA World Cup?, false
Did the "Fumble" incident involve LeBron James in basketball?, false
Did Roger Bannister run the first sub-4-minute mile in 1955?, false
Did the 1992 Summer Olympics take place in Atlanta, Georgia?, false
Did the 2018 FIFA World Cup take place in Russia?, true
Did Derek Redmond finish the 400m race at the 1992 Barcelona Olympics after an injury?, true
Did the 2002 FIFA World Cup take place in South Korea and Japan?, true
Did Bjorn Borg win six consecutive French Open titles in tennis?, false
Did the "Rumble in the Jungle" involve Mike Tyson and Evander Holyfield?, false
Did the 1972 Olympics take place in Moscow?, false
Did the "Battle of the Sexes" tennis match involve Billie Jean King?, true
Did the 2004 Athens Olympics feature synchronized swimming?, true
