Question, Answer
Are compilers software that translates high-level programming languages into machine code?, true
Is Python a high-level programming language?, true
Are binary digits (bits) the fundamental units of information in computing?, true
Is HTML a programming language?, false
Are registers part of the computer's main memory?, false
Is a linked list a data structure in which elements are stored in contiguous memory locations?, false
Is a CPU (Central Processing Unit) a key component of a computer that performs most of the processing tasks?, true
Is JavaScript primarily used for server-side programming?, false
Is SQL (Structured Query Language) used for database management and manipulation?, true
Is a byte typically composed of 8 bits?, true
Is Linux a widely used open-source operating system?, true
Is the binary system based on the digits 0 and 1?, true
Is a firewall a hardware device used to protect a network from unauthorized access?, true
Is cloud computing a technology that allows access to computing resources over the internet?, true
Is a stack a data structure that follows the Last In, First Out (LIFO) principle?, true
Is Unicode a character encoding standard that represents most of the world's written languages?, true
Is HTTP (HyperText Transfer Protocol) a protocol used for secure communication over a computer network?, false
Are pointers used in object-oriented programming languages to store memory addresses?, true
Is the TCP/IP protocol suite the foundation of the internet?, true
Is a GUI (Graphical User Interface) a type of interface that uses text-based commands?, false
Is artificial intelligence (AI) a field of computer science that aims to create intelligent machines?, true
Is Git a version control system used for tracking changes in source code during software development?, true
Is HTML5 the latest version of the HTML standard for structuring and presenting content on the web?, true
Is a router a device that connects multiple computer networks together and directs data traffic?, true
Is a computer virus a type of hardware component?, false
Is a hash function a cryptographic algorithm that converts input into a fixed-length string of characters?, true
Is a database a collection of related data organized for efficient retrieval and management?, true
Is PHP a server-side scripting language commonly used for web development?, true
Is encryption the process of converting data into a format that can only be read by authorized parties?, true
Is a gigabyte equal to 1,024 megabytes?, true
Is assembly language a low-level programming language that uses human-readable instructions for machine operations?, true
Is XML a programming language used to create dynamic web pages?, false
Is Moore's Law the observation that the number of transistors on a computer chip doubles approximately every two years?, true
Is a firewall software that helps protect a computer or network from unauthorized access?, true
Is HTTP (HyperText Transfer Protocol) used for secure communication over a computer network?, false
Is an algorithm a step-by-step procedure or formula for solving a problem or accomplishing a task?, true
Is a bit the smallest unit of data in a computer, representing a binary digit of 0 or 1?, true
Is a protocol a set of rules for communication between devices?, true
Is PHP primarily used for front-end web development?, false
Is Python an untyped programming language?, false
Is Moore's Law related to the speed of light?, false
Is CSS (Cascading Style Sheets) a programming language?, false
Is virtual reality (VR) a technology that allows users to interact with a computer-generated environment?, true
Is a compiler a program that translates machine code into high-level programming languages?, false
Is a subroutine a named block of code within a program that can be reused?, true
Is malware a type of software intentionally designed to harm computers or networks?, true
Is an operating system a system software that manages computer hardware and software resources?, true
Is a protocol a type of computer hardware?, false
Is a gigabit equal to 1,024 kilobits?, false
Is an API (Application Programming Interface) a set of rules and tools for building software applications?, true
