Question, Answer
Did the Apollo 11 mission successfully land the first humans on the Moon?, true
Did the Titanic sink after hitting an iceberg in the North Atlantic Ocean?, true
Did the Boston Tea Party involve colonists protesting the Tea Act imposed by the British government?, true
Did the Battle of Gettysburg occur during the American Civil War?, true
Did the Russian Revolution of 1917 lead to the establishment of a communist government?, true
Did the French Revolution begin in 1789 with the storming of the Bastille?, true
Did the Great Depression start in 1929 with the stock market crash?, true
Did the Cold War last from the end of World War II to the early 1990s?, true
Did the assassination of Archduke Franz Ferdinand trigger the start of World War I?, true
Did the signing of the Declaration of Independence take place on July 4, 1776?, true
Did the Black Death pandemic occur during the 14th century and devastate Europe?, true
Did the sinking of the Lusitania by a German submarine contribute to the United States entering World War I?, true
Did the Cuban Missile Crisis bring the United States and the Soviet Union to the brink of nuclear war?, true
Did the Treaty of Versailles end World War II?, false
Did the Wright brothers make the first successful powered flight in 1903?, true
Did the ancient city of Pompeii get destroyed by the eruption of Mount Vesuvius?, true
Did the Korean War begin in 1950 and end in 1953?, true
Did the assassination of President Abraham Lincoln occur at Ford's Theatre in Washington, D.C.?, true
Did the construction of the Berlin Wall begin in 1961 to separate East and West Berlin?, true
Did the American Revolution start in 1775 with the Battles of Lexington and Concord?, true
Did the Industrial Revolution begin in the late 18th century in Britain?, true
Did the moon landing during Apollo 11 happen in 1969?, true
Did the D-Day invasion mark the beginning of the end of World War II in Europe?, true
Did the Battle of Waterloo in 1815 mark Napoleon Bonaparte's final defeat?, true
Did the fall of the Berlin Wall occur in 1989?, true
Did the Holocaust occur during World War II and result in the genocide of millions of Jews?, true
Did the assassination of Martin Luther King Jr. take place in Memphis, Tennessee, in 1968?, true
Did the Gunpowder Plot involve a failed attempt to blow up the British Parliament in 1605?, true
Did the signing of the Magna Carta take place in 1215, limiting the powers of the English monarch?, true
Did the sinking of the RMS Lusitania occur during World War II?, false
Did the October Revolution in Russia take place in 1917 and establish a socialist government?, true
Did the attack on Pearl Harbor by the Japanese forces take place in 1941, leading the United States to enter World War II?, true
Did the Space Race occur during the Cold War and involve a competition between the United States and the Soviet Union to achieve milestones in space exploration?, true
Did the signing of the Treaty of Tordesillas in 1494 divide the New World between Spain and Portugal?, true
Did the Emancipation Proclamation, issued by President Abraham Lincoln, free all slaves in the United States?, false
Did the Salem witch trials occur in colonial Massachusetts in the late 17th century?, true
Did the signing of the Treaty of Paris in 1783 officially end the American Revolutionary War?, true
Did the assassination of President John F. Kennedy take place in Dallas, Texas, in 1963?, true
Did the signing of the Treaty of Guadalupe Hidalgo in 1848 end the Mexican-American War?, true
Did the signing of the Treaty of Portsmouth in 1905 end the Russo-Japanese War?, true
Did the Battle of Bunker Hill occur during the American Revolutionary War?, true
Did the sinking of the USS Arizona at Pearl Harbor result in the deaths of over 1,000 crew members?, true
Did the signing of the Treaty of Utrecht in 1713 end the War of the Spanish Succession?, true
Did the Louisiana Purchase occur in 1803, resulting in the acquisition of a vast territory by the United States from France?, true
Did the signing of the Camp David Accords in 1978 bring a peace agreement between Israel and Egypt?, true
Did the signing of the Treaty of Brest-Litovsk in 1918 end Russia's involvement in World War I?, true
Did the Battle of Saratoga during the American Revolutionary War result in a significant victory for the American forces?, true
Did the sinking of the RMS Titanic result in over 1,500 deaths?, true
Did the signing of the Treaty of Munich in 1938 lead to the appeasement of Adolf Hitler and the dismemberment of Czechoslovakia?, true
Did the signing of the Treaty of Nanking in 1842 end the First Opium War between Britain and China?, true
