Question, Answer
Is Brad Pitt an Academy Award-winning actor?, true
Is Beyoncé a professional basketball player?, false
Is Leonardo DiCaprio a renowned singer?, false
Is Oprah Winfrey a media mogul?, true
Is Taylor Swift an acclaimed actress?, false
Is George Clooney a humanitarian?, true
Is Angelina Jolie an Olympic gold medalist?, false
Is Cristiano Ronaldo a football (soccer) superstar?, true
Is Kim Kardashian a successful businesswoman?, true
Is Johnny Depp a skilled chef?, false
Is Ellen DeGeneres a talk show host?, true
Is Dwayne "The Rock" Johnson a former professional wrestler?, true
Is Selena Gomez a fashion designer?, false
Is Emma Watson a UN Women Goodwill Ambassador?, true
Is Justin Bieber a professional golfer?, false
Is Scarlett Johansson a Harvard University graduate?, false
Is David Beckham an acclaimed actor?, false
Is Ariana Grande a Grammy Award-winning singer?, true
Is Robert Downey Jr. a philanthropist?, true
Is Rihanna an entrepreneur?, true
Is Tom Cruise an American actor?, true
Is Ellen Page an environmental activist?, false
Is Kanye West a billionaire?, true
Is Jennifer Lawrence an Academy Award-winning actress?, true
Is Harry Styles a former member of One Direction?, true
Is Lady Gaga an accomplished pianist?, true
Is Matt Damon a physicist?, false
Is Adele a multiple Grammy Award-winning singer?, true
Is Julia Roberts a Harvard graduate?, false
Is Jay-Z a successful businessman?, true
Is Sandra Bullock a professional dancer?, false
Is Emma Stone a vegan?, true
Is Kanye West known for his photography skills?, false
Is Drake a former child actor?, true
Is Jennifer Lopez an Olympic gold medalist?, false
Is Elon Musk an inventor?, true
Is Eddie Redmayne an astronaut?, false
Is Mark Zuckerberg a co-founder of Facebook?, true
Is Keanu Reeves a martial arts expert?, true
Is Reese Witherspoon a published author?, true
Is Anne Hathaway a trained pilot?, false
Is Jeff Bezos a billionaire space explorer?, true
Is Hugh Hefner a professional swimmer?, false
Is Shakira an astrophysicist?, false
Is George Clooney a humanitarian?, true
Is Tom Hanks an accomplished musician?, false
Is Angelina Jolie a UNHCR Goodwill Ambassador?, true
Is Beyoncé a fashion designer?, false
Is Will Smith an accomplished painter?, false
Is Taylor Swift an advocate for education?, true
