Question, Answer
Did the Apollo 11 mission successfully land the first humans on the Moon?, true
Did the Titanic sink after hitting an iceberg in the North Atlantic Ocean?, true
Did the Boston Tea Party involve colonists protesting the Tea Act imposed by the British government?, true
Did the Battle of Gettysburg occur during the American Civil War?, true
Did the Russian Revolution of 1917 lead to the establishment of a communist government?, true
Did the French Revolution begin in 1789 with the storming of the Bastille?, true
Was the signing of the Declaration of Independence on July 4, 1776?, true
Was the fall of the Berlin Wall in 1989 a symbol of the end of the Cold War?, true
Did the assassination of President Abraham Lincoln take place at Ford's Theatre in Washington, D.C.?, true
Did World War I start in 1914 after the assassination of Archduke Franz Ferdinand of Austria?, true
Did the Great Depression begin in 1929 with the stock market crash?, true
Was the Battle of Waterloo in 1815 Napoleon Bonaparte's final defeat?, true
Did the Emancipation Proclamation, issued by President Abraham Lincoln, free all slaves in the United States?, false
Was the signing of the Treaty of Versailles the end of World War II?, false
Did Christopher Columbus discover America in 1492?, false
Was the Cuban Missile Crisis in 1962 a 13-day confrontation between the United States and the Soviet Union over Soviet ballistic missiles deployed in Cuba?, true
Was the Chernobyl nuclear disaster in 1986 a catastrophic nuclear accident?, true
Did the Black Death pandemic occur during the 14th century and devastate Europe?, true
Was the signing of the Magna Carta in 1215 an attempt to limit the powers of the English monarch?, true
Did the Apollo 13 mission successfully land on the Moon?, false
Did the fall of the Roman Empire occur in the 5th century AD?, true
Did the signing of the Treaty of Tordesillas in 1494 divide the New World between Spain and Portugal?, true
Was the Space Race a competition between the United States and the Soviet Union to achieve milestones in space exploration?, true
Was the Treaty of Brest-Litovsk in 1918 an agreement between Soviet Russia and the Central Powers to end Russia's involvement in World War I?, true
Did the American Revolution start in 1776 with the Declaration of Independence?, false
Was the Battle of the Alamo in 1836 a key event in the Texas Revolution?, true
Was the signing of the Camp David Accords in 1978 a peace agreement between Israel and Egypt?, true
Did the Cuban Revolution in 1959 bring Fidel Castro to power in Cuba?, true
Was the signing of the Treaty of Utrecht in 1713 a series of individual peace treaties that ended the War of the Spanish Succession?, true
Was the assassination of Julius Caesar in 44 BC the result of a conspiracy led by Brutus and Cassius?, true
Was the signing of the Munich Agreement in 1938 an appeasement of Adolf Hitler and the dismemberment of Czechoslovakia?, true
Was the signing of the Treaty of Nanking in 1842 the end of the First Opium War between Britain and China?, true
Did the sinking of the RMS Lusitania occur during World War II?, false
Was the signing of the Treaty of Guadalupe Hidalgo in 1848 the end of the Mexican-American War?, true
Did the fall of the Bastille in 1789 mark the start of the French Revolution?, true
Was the signing of the Treaty of Portsmouth in 1905 the end of the Russo-Japanese War?, true
Was the signing of the Treaty of Windsor in 1386 an alliance between England and Portugal?, true
Was the signing of the Treaty of Paris in 1783 the official end of the American Revolutionary War?, true
Was the Battle of Stalingrad in 1942 a turning point in World War I?, false
Was the signing of the Armistice of Compiègne in 1918 the end of World War II?, false
Did the Roswell UFO incident in 1947 involve the crash of an extraterrestrial spacecraft?, false
Did the Great Chicago Fire in 1871 result in the deaths of hundreds and the destruction of a large portion of the city?, true
Was the sinking of the USS Arizona at Pearl Harbor the catalyst for the United States' entry into World War I?, false
Was the signing of the Treaty of Breda in 1667 the end of the Second Anglo-Dutch War?, true
Was the signing of the Treaty of Ryswick in 1697 the end of the Nine Years' War?, true
Was the signing of the Treaty of Aix-la-Chapelle in 1748 the end of the War of the Austrian Succession?, true
Was the signing of the Treaty of Lausanne in 1923 the end of the Greco-Turkish War?, true
Was the signing of the Treaty of Adrianople in 1829 the end of the Russo-Turkish War?, true
Was the signing of the Treaty of Nystad in 1721 the end of the Great Northern War?, true
Was the signing of the Treaty of Paris in 1763 the end of the Seven Years' War?, true
