Question, Answer
Was Leonardo da Vinci an Italian polymath known for his artistic and scientific contributions?, true
Was Cleopatra VII a Roman empress known for her beauty and relationships with Julius Caesar and Mark Antony?, true
Was Julius Caesar the first Roman Emperor?, false
Was Martin Luther King Jr. a prominent leader in the American civil rights movement?, true
Was Marie Antoinette the last Queen of France before the French Revolution?, true
Was Isaac Newton an English mathematician, physicist, and astronomer known for his laws of motion and universal gravitation?, true
Was Genghis Khan the founder and first Great Khan of the Mongol Empire?, true
Was Joan of Arc a famous English monarch during the Middle Ages?, false
Was Nelson Mandela a South African anti-apartheid revolutionary and political leader who became President of South Africa?, true
Was Cleopatra VII an ancient Greek philosopher and scientist?, false
Was Galileo Galilei an Italian astronomer, physicist, and engineer known for his significant contributions to the scientific revolution?, true
Was William Shakespeare an influential English playwright, poet, and actor?, true
Was Christopher Columbus an Italian explorer known for discovering the Americas?, true
Was Queen Victoria the longest-reigning monarch in British history?, true
Was Napoleon Bonaparte a Russian military strategist during the Napoleonic Wars?, false
Was Amelia Earhart the first female aviator to fly solo across the Atlantic Ocean?, true
Was Mahatma Gandhi a leader in the Indian independence movement against British rule?, true
Was Wolfgang Amadeus Mozart a renowned Austrian composer and musician of the classical era?, true
Was Socrates an ancient Greek philosopher known for his contributions to ethics and epistemology?, true
Was Christopher Columbus a Spanish explorer?, false
Was Vincent van Gogh a famous Dutch painter known for his post-impressionist artworks?, true
Was Elizabeth I the first female monarch of England?, false
Was Adolf Hitler the Chancellor of Germany during World War II?, true
Was Joan of Arc a French military leader and heroine of the Hundred Years' War?, true
Was Thomas Edison an American inventor and businessman known for his contributions to the development of the electric light bulb and phonograph?, true
Was Aristotle an ancient Greek philosopher and scientist?, true
Was Alexander the Great the king of Persia?, false
Was Rosa Parks a civil rights activist known for her pivotal role in the Montgomery Bus Boycott?, true
Was Isaac Newton a French mathematician and physicist?, false
Was Abraham Lincoln the 16th President of the United States who led the nation through its Civil War?, true
Was Julius Caesar a Roman general and statesman?, true
Was Joan of Arc an English military leader?, false
Was Benjamin Franklin an American statesman, scientist, and Founding Father of the United States?, true
Was Confucius a Chinese philosopher and politician?, true
Was Catherine the Great the Empress of Russia?, true
Was Vincent van Gogh an Italian painter?, false
Was Albert Einstein a Swiss mathematician and physicist?, false
Was Harriet Tubman an American abolitionist and political activist who escaped slavery and then helped others gain their freedom?, true
Was Michelangelo an Italian sculptor, painter, architect, and poet of the High Renaissance?, true
Was Julius Caesar a French military general?, false
Was John F. Kennedy the 35th President of the United States?, true
Was Joan of Arc a Spanish military leader?, false
Was Marco Polo an Italian merchant, explorer, and writer who traveled extensively in Asia?, true
Was Winston Churchill a British statesman and Prime Minister during World War II?, true
Was Leonardo da Vinci a Spanish polymath?, false
Was Susan B. Anthony an American suffragist and civil rights leader?, true
Was Thomas Edison a Scottish inventor and engineer?, false
Was Pablo Picasso a Spanish painter, sculptor, printmaker, and stage designer?, true
Was King Tutankhamun an ancient Egyptian pharaoh?, true
Was Isaac Newton a Greek mathematician and astronomer?, false
