Întrebare, Răspuns
Este pepperoni cea mai populară garnitură de pizza din lume?, true
Este ciocolata o legumă?, false
Avocado este un fruct?, true
Untul de arahide este o legumă?, true
Morcovii sunt o legumă rădăcinoasă?, true
Ceapa este o legumă rădăcinoasă?, false
Țelina este o legumă rădăcinoasă?, false
Sunt castraveții un fruct?, false
Pepenele roșu este o legumă?, false
Roșiile sunt un fruct?, true
Este Hawaii singurul stat american care cultivă și produce cafea?, false
Este apa cea mai consumată băutură manufacturată din lume?, true
Cea mai populară brânză din lume este brânza cheddar?, false
Cartofii sunt o legumă?, true
Ouăle sunt un produs lactat?, false
Sunt ananasul o sursă bună de vitamina C?, true
Cea mai populară cafea din lume este Starbucks?, false
Cea mai populară băutură răcoritoare din lume este Coca-Cola?, true
Șampania trebuie să provină din regiunea Champagne din Franța?, true
Cea mai populară băutură alcoolică din lume este berea?, true
Cel mai popular lanț de pizza din lume este Domino's?, true
Cel mai popular lanț de fast-food din lume este McDonald's?, true
Cel mai popular baton de ciocolată din lume este KitKat?, true
Cele mai populare chipsuri din lume sunt Lay's?, true
Cel mai popular baton de ciocolată din lume este Snickers?, true
Hot dog-urile trebuie să fie făcute din carne de porc?, false
Sunt Twinkies un tip de prăjitură?, false
Cea mai populară aromă de înghețată din lume este vanilia?, true
Cele mai populare prăjituri din lume sunt Oreo?, true
Cea mai populară aromă de jeleu din lume este struguri?, false
Toate vinurile trebuie să fie făcute din struguri?, false
